Generate_Loan_Applications_Data_With_Names,,,,,,,,,,,,,,,
Applicant_ID,Name,Age,Profession,Annual_Income,Credit_Score,Loan_Amount,Loan_Status,,,,,,,,
APP0001,Sarah Martinez,59,Artist,198722,601,40062,Paid,,,,,,,,
APP0002,Michael Smith,49,Doctor,76413,489,8630,Default,,,,,,,,
APP0003,Sarah Rodriguez,35,Teacher,167084,435,36870,Default,,,,,,,,
APP0004,Emily Williams,63,Engineer,37151,703,49942,Default,,,,,,,,
APP0005,Emily Brown,28,Lawyer,87716,640,8453,Default,,,,,,,,
APP0006,Sarah Johnson,41,Doctor,123747,617,42275,Paid,,,,,,,,
APP0007,John Martinez,59,Engineer,197450,662,48370,Paid,,,,,,,,
APP0008,John Davis,39,Doctor,174539,681,43396,Default,,,,,,,,
APP0009,Jane Martinez,43,Artist,192082,532,13328,Paid,,,,,,,,
APP0010,Chris Brown,31,Lawyer,151999,643,20534,Paid,,,,,,,,
APP0011,Laura Johnson,31,Engineer,144793,848,24744,Paid,,,,,,,,
APP0012,Sarah Rodriguez,44,Engineer,138177,828,24389,Paid,,,,,,,,
APP0013,Michael Miller,56,Engineer,42289,482,41320,Default,,,,,,,,
APP0014,John Johnson,60,Engineer,184243,340,40010,Default,,,,,,,,
APP0015,Emily Brown,44,Engineer,116365,850,19665,Paid,,,,,,,,
APP0016,Alex Miller,23,Doctor,144014,696,42865,Paid,,,,,,,,
APP0017,Laura Johnson,42,Lawyer,190806,793,13640,Paid,,,,,,,,
APP0018,Emily Williams,22,Artist,102588,632,39716,Paid,,,,,,,,
APP0019,Jane Garcia,44,Artist,93646,426,30521,Paid,,,,,,,,
APP0020,Emily Garcia,64,Artist,33654,300,35049,Default,,,,,,,,
APP0021,Jane Brown,50,Artist,48743,467,10618,Paid,,,,,,,,
APP0022,Katie Jones,58,Doctor,78368,318,42004,Default,,,,,,,,
APP0023,Alex Davis,22,Teacher,167513,631,6920,Paid,,,,,,,,
APP0024,Michael Williams,41,Lawyer,149735,755,48937,Paid,,,,,,,,
APP0025,Katie Brown,53,Engineer,185683,408,9188,Paid,,,,,,,,
APP0026,Chris Jones,32,Teacher,149891,567,17207,Paid,,,,,,,,
APP0027,Michael Jones,42,Artist,137971,744,5238,Paid,,,,,,,,
APP0028,Alex Martinez,64,Teacher,42149,539,37972,Paid,,,,,,,,
APP0029,Chris Miller,45,Lawyer,130102,600,15799,Default,,,,,,,,
APP0030,Chris Jones,47,Engineer,89189,402,10552,Default,,,,,,,,
APP0031,David Williams,62,Engineer,182747,549,33916,Paid,,,,,,,,
APP0032,Katie Smith,48,Lawyer,101031,752,9927,Paid,,,,,,,,
APP0033,Sarah Jones,36,Lawyer,72668,819,32964,Paid,,,,,,,,
APP0034,Laura Jones,35,Artist,174745,452,16164,Default,,,,,,,,
APP0035,David Garcia,64,Engineer,118204,473,42158,Default,,,,,,,,
APP0036,Laura Martinez,23,Teacher,184741,642,24071,Default,,,,,,,,
APP0037,Laura Williams,57,Doctor,195140,730,11160,Paid,,,,,,,,
APP0038,Michael Miller,27,Doctor,170507,623,20810,Default,,,,,,,,
APP0039,Sarah Garcia,41,Lawyer,67384,719,10126,Paid,,,,,,,,
APP0040,Michael Johnson,29,Artist,111929,784,35009,Paid,,,,,,,,
APP0041,David Martinez,59,Doctor,157959,711,38584,Paid,,,,,,,,
APP0042,Sarah Smith,38,Engineer,106153,383,30396,Default,,,,,,,,
APP0043,John Williams,24,Lawyer,105388,412,5192,Default,,,,,,,,
APP0044,Alex Smith,45,Teacher,61401,631,41413,Paid,,,,,,,,
APP0045,Michael Brown,34,Lawyer,149503,677,17816,Default,,,,,,,,
APP0046,Sarah Johnson,29,Teacher,157834,340,44082,Default,,,,,,,,
APP0047,Sarah Jones,46,Lawyer,64084,404,37130,Default,,,,,,,,
APP0048,Katie Rodriguez,22,Lawyer,140641,501,45142,Paid,,,,,,,,
APP0049,Emily Johnson,40,Lawyer,135111,749,41468,Paid,,,,,,,,
APP0050,Chris Williams,48,Teacher,197523,565,35698,Default,,,,,,,,
APP0051,Jane Smith,27,Teacher,168299,509,15655,Default,,,,,,,,
APP0052,Sarah Johnson,64,Lawyer,192982,417,35075,Default,,,,,,,,
APP0053,Katie Davis,28,Doctor,66041,676,14359,Default,,,,,,,,
APP0054,Alex Rodriguez,55,Artist,118920,850,41661,Paid,,,,,,,,
APP0055,David Johnson,34,Artist,95681,839,44579,Paid,,,,,,,,
APP0056,Laura Martinez,37,Artist,111571,383,47056,Default,,,,,,,,
APP0057,Chris Brown,56,Teacher,157556,753,38272,Paid,,,,,,,,
APP0058,Sarah Jones,60,Teacher,56160,813,47581,Paid,,,,,,,,
APP0059,Emily Davis,24,Doctor,47633,686,19671,Paid,,,,,,,,
APP0060,Emily Martinez,22,Artist,47014,649,32048,Paid,,,,,,,,
APP0061,Katie Johnson,26,Artist,110532,595,15738,Default,,,,,,,,
APP0062,Chris Garcia,62,Lawyer,79104,557,30963,Default,,,,,,,,
APP0063,Chris Johnson,24,Teacher,107231,380,48954,Default,,,,,,,,
APP0064,Michael Brown,49,Artist,98388,567,11773,Paid,,,,,,,,
APP0065,Laura Miller,38,Doctor,46014,718,41584,Paid,,,,,,,,
APP0066,Michael Rodriguez,46,Doctor,122578,534,34894,Paid,,,,,,,,
APP0067,John Martinez,64,Artist,194827,610,5717,Paid,,,,,,,,
APP0068,Katie Garcia,54,Teacher,70390,656,16676,Default,,,,,,,,
APP0069,Katie Garcia,30,Doctor,53711,512,9434,Default,,,,,,,,
APP0070,Sarah Miller,56,Lawyer,121658,348,42825,Paid,,,,,,,,
APP0071,Sarah Garcia,34,Doctor,87993,426,34100,Paid,,,,,,,,
APP0072,John Williams,51,Engineer,188285,522,9994,Default,,,,,,,,
APP0073,Jane Garcia,35,Engineer,37421,578,9234,Paid,,,,,,,,
APP0074,Laura Williams,28,Teacher,47727,707,8764,Paid,,,,,,,,
APP0075,Sarah Davis,34,Artist,142418,804,48949,Paid,,,,,,,,
APP0076,Laura Jones,43,Teacher,34358,593,42405,Paid,,,,,,,,
APP0077,Laura Garcia,60,Teacher,95108,576,39872,Paid,,,,,,,,
APP0078,Chris Rodriguez,41,Teacher,124018,737,47215,Paid,,,,,,,,
APP0079,Michael Davis,36,Teacher,154457,406,28185,Default,,,,,,,,
APP0080,John Johnson,65,Lawyer,193189,719,48442,Paid,,,,,,,,
APP0081,Laura Rodriguez,38,Lawyer,61910,728,46153,Paid,,,,,,,,
APP0082,Emily Martinez,44,Doctor,156888,674,16999,Default,,,,,,,,
APP0083,Sarah Rodriguez,46,Engineer,85754,372,41487,Default,,,,,,,,
APP0084,Emily Martinez,45,Teacher,139847,329,7581,Default,,,,,,,,
APP0085,Sarah Martinez,65,Doctor,190443,487,7763,Default,,,,,,,,
APP0086,David Miller,61,Engineer,68467,663,32374,Paid,,,,,,,,
APP0087,Jane Rodriguez,49,Artist,178697,750,43759,Paid,,,,,,,,
APP0088,Emily Davis,35,Lawyer,63893,494,15531,Default,,,,,,,,
APP0089,Michael Miller,65,Engineer,106329,455,30307,Default,,,,,,,,
APP0090,Laura Smith,21,Artist,61007,471,35835,Paid,,,,,,,,
APP0091,Chris Johnson,45,Engineer,84253,340,16064,Default,,,,,,,,
APP0092,Jane Smith,27,Lawyer,42323,362,16312,Default,,,,,,,,
APP0093,Chris Johnson,29,Lawyer,141335,322,42548,Default,,,,,,,,
APP0094,Emily Williams,44,Doctor,142356,659,41945,Paid,,,,,,,,
APP0095,Alex Johnson,21,Teacher,140944,374,11476,Default,,,,,,,,
APP0096,Katie Johnson,64,Engineer,175282,417,29565,Default,,,,,,,,
APP0097,Laura Davis,28,Engineer,46456,679,7382,Paid,,,,,,,,
APP0098,Chris Martinez,44,Artist,61367,589,27463,Paid,,,,,,,,
APP0099,Michael Brown,31,Lawyer,84624,739,38402,Paid,,,,,,,,
APP0100,John Johnson,37,Engineer,171178,306,31345,Default,,,,,,,,
APP0101,Sarah Martinez,28,Lawyer,98008,495,49764,Default,,,,,,,,
APP0102,Emily Smith,55,Engineer,155926,720,31946,Default,,,,,,,,
APP0103,Laura Rodriguez,55,Doctor,145395,492,19162,Default,,,,,,,,
APP0104,Emily Martinez,53,Teacher,146492,447,13397,Default,,,,,,,,
APP0105,Alex Johnson,25,Engineer,102240,501,27335,Default,,,,,,,,
APP0106,Chris Williams,62,Lawyer,94315,743,19394,Paid,,,,,,,,
APP0107,Sarah Miller,59,Doctor,40756,718,32197,Paid,,,,,,,,
APP0108,Katie Smith,61,Engineer,66378,726,27010,Paid,,,,,,,,
APP0109,Laura Johnson,48,Artist,165327,778,29123,Default,,,,,,,,
APP0110,Chris Rodriguez,27,Teacher,175556,774,27387,Paid,,,,,,,,
APP0111,Laura Johnson,29,Engineer,155703,425,7890,Paid,,,,,,,,
APP0112,David Jones,28,Doctor,86549,694,32769,Default,,,,,,,,
APP0113,Sarah Garcia,32,Artist,195575,624,48626,Default,,,,,,,,
APP0114,Alex Williams,54,Doctor,103794,691,13026,Default,,,,,,,,
APP0115,Sarah Davis,53,Doctor,75113,739,8306,Paid,,,,,,,,
APP0116,Sarah Martinez,43,Artist,104069,503,38665,Paid,,,,,,,,
APP0117,Jane Johnson,44,Doctor,166321,785,14277,Paid,,,,,,,,
APP0118,Chris Garcia,57,Artist,180273,330,47239,Default,,,,,,,,
APP0119,Jane Jones,55,Engineer,155541,687,19683,Paid,,,,,,,,
APP0120,Michael Martinez,64,Artist,39686,733,5670,Paid,,,,,,,,
APP0121,Sarah Davis,60,Artist,83363,675,28675,Default,,,,,,,,
APP0122,Michael Davis,42,Teacher,127543,643,22889,Paid,,,,,,,,
APP0123,David Jones,47,Artist,161733,742,49535,Paid,,,,,,,,
APP0124,Chris Martinez,55,Artist,125673,374,18006,Default,,,,,,,,
APP0125,Emily Rodriguez,21,Engineer,72828,454,31531,Paid,,,,,,,,
APP0126,Chris Johnson,55,Teacher,78604,729,26639,Paid,,,,,,,,
APP0127,Sarah Davis,57,Lawyer,40526,662,21633,Paid,,,,,,,,
APP0128,Michael Davis,34,Engineer,98910,747,39660,Paid,,,,,,,,
APP0129,Alex Brown,23,Engineer,55592,533,8439,Default,,,,,,,,
APP0130,Chris Garcia,21,Lawyer,58982,561,37172,Paid,,,,,,,,
APP0131,John Brown,25,Artist,30207,424,40622,Default,,,,,,,,
APP0132,Sarah Jones,46,Doctor,118733,544,16577,Paid,,,,,,,,
APP0133,Michael Jones,34,Teacher,154982,841,16763,Paid,,,,,,,,
APP0134,John Miller,59,Doctor,98619,784,25176,Paid,,,,,,,,
APP0135,Laura Miller,47,Lawyer,190400,421,49386,Paid,,,,,,,,
APP0136,Emily Davis,29,Engineer,76479,424,29255,Paid,,,,,,,,
APP0137,Chris Martinez,35,Engineer,181175,848,46003,Paid,,,,,,,,
APP0138,David Martinez,35,Teacher,171826,469,24996,Default,,,,,,,,
APP0139,Chris Smith,46,Engineer,111437,423,40386,Default,,,,,,,,
APP0140,David Jones,62,Engineer,128540,334,26062,Default,,,,,,,,
APP0141,Katie Brown,33,Teacher,102982,386,40931,Default,,,,,,,,
APP0142,Katie Davis,52,Teacher,132747,500,40710,Default,,,,,,,,
APP0143,Alex Jones,59,Lawyer,78231,668,39693,Default,,,,,,,,
APP0144,Jane Johnson,52,Engineer,59301,376,40740,Default,,,,,,,,
APP0145,Michael Martinez,24,Engineer,48752,358,16705,Default,,,,,,,,
APP0146,Sarah Martinez,50,Lawyer,128452,730,48408,Default,,,,,,,,
APP0147,Katie Brown,57,Artist,174467,799,33047,Paid,,,,,,,,
APP0148,Chris Smith,43,Artist,151237,408,15966,Default,,,,,,,,
APP0149,Michael Davis,59,Artist,86273,577,22374,Default,,,,,,,,
APP0150,David Davis,65,Lawyer,121878,367,16138,Default,,,,,,,,
APP0151,Chris Williams,35,Engineer,34895,368,20935,Paid,,,,,,,,
APP0152,Sarah Rodriguez,63,Lawyer,149968,464,5489,Default,,,,,,,,
APP0153,Katie Jones,49,Lawyer,145700,788,49516,Paid,,,,,,,,
APP0154,Alex Garcia,56,Artist,106559,604,27260,Default,,,,,,,,
APP0155,Alex Martinez,33,Doctor,40699,664,31069,Paid,,,,,,,,
APP0156,Katie Brown,52,Engineer,39715,678,24275,Default,,,,,,,,
APP0157,Jane Davis,27,Artist,49169,642,41284,Default,,,,,,,,
APP0158,Emily Rodriguez,42,Doctor,148413,653,44178,Paid,,,,,,,,
APP0159,Michael Johnson,48,Doctor,177235,715,37821,Default,,,,,,,,
APP0160,Emily Jones,22,Teacher,149264,408,21999,Default,,,,,,,,
APP0161,Alex Rodriguez,62,Engineer,35782,796,43712,Paid,,,,,,,,
APP0162,Chris Johnson,65,Doctor,154481,640,45172,Default,,,,,,,,
APP0163,Alex Rodriguez,26,Artist,65585,682,38722,Default,,,,,,,,
APP0164,Michael Johnson,48,Teacher,60682,832,15625,Paid,,,,,,,,
APP0165,David Brown,48,Engineer,159992,599,6629,Paid,,,,,,,,
APP0166,David Johnson,64,Lawyer,114416,438,15973,Default,,,,,,,,
APP0167,Sarah Brown,64,Artist,157810,658,11859,Paid,,,,,,,,
APP0168,Chris Johnson,40,Doctor,68067,798,46609,Paid,,,,,,,,
APP0169,Sarah Smith,50,Doctor,48073,684,48307,Paid,,,,,,,,
APP0170,Michael Martinez,31,Artist,66035,579,41046,Default,,,,,,,,
APP0171,John Davis,48,Doctor,120373,782,26839,Paid,,,,,,,,
APP0172,Alex Martinez,45,Teacher,113362,410,32216,Default,,,,,,,,
APP0173,Katie Miller,59,Engineer,120517,438,23945,Default,,,,,,,,
APP0174,Sarah Smith,53,Teacher,95450,734,11539,Paid,,,,,,,,
APP0175,Katie Miller,21,Doctor,40382,808,38625,Paid,,,,,,,,
APP0176,Katie Brown,47,Lawyer,165509,572,9886,Paid,,,,,,,,
APP0177,John Rodriguez,33,Engineer,91929,398,12485,Default,,,,,,,,
APP0178,Emily Miller,61,Engineer,128864,403,36455,Default,,,,,,,,
APP0179,Michael Johnson,23,Artist,173401,513,21767,Default,,,,,,,,
APP0180,John Davis,59,Artist,55169,464,33453,Paid,,,,,,,,
APP0181,Laura Miller,26,Lawyer,117468,819,15744,Paid,,,,,,,,
APP0182,Laura Williams,28,Engineer,64594,583,42102,Default,,,,,,,,
APP0183,Jane Miller,47,Lawyer,75033,816,17226,Paid,,,,,,,,
APP0184,Laura Smith,29,Artist,93133,463,32869,Default,,,,,,,,
APP0185,Sarah Rodriguez,57,Artist,103861,363,27588,Default,,,,,,,,
APP0186,Emily Brown,53,Engineer,61750,390,18440,Default,,,,,,,,
APP0187,Alex Garcia,62,Teacher,70461,416,36709,Default,,,,,,,,
APP0188,John Garcia,64,Doctor,108222,566,27495,Default,,,,,,,,
APP0189,Jane Rodriguez,44,Artist,142020,439,42019,Default,,,,,,,,
APP0190,Jane Miller,35,Artist,54226,545,49948,Paid,,,,,,,,
APP0191,John Miller,52,Teacher,36721,694,5922,Default,,,,,,,,
APP0192,Chris Davis,52,Teacher,50609,786,32526,Paid,,,,,,,,
APP0193,Emily Martinez,44,Lawyer,160513,775,12957,Paid,,,,,,,,
APP0194,Michael Garcia,61,Lawyer,134211,816,38998,Paid,,,,,,,,
APP0195,Chris Brown,32,Doctor,166728,483,48395,Paid,,,,,,,,
APP0196,Michael Jones,59,Doctor,154865,319,29031,Default,,,,,,,,
APP0197,Chris Smith,22,Engineer,104520,823,15006,Paid,,,,,,,,
APP0198,Jane Jones,23,Lawyer,94309,828,42701,Paid,,,,,,,,
APP0199,Alex Johnson,57,Artist,59984,446,30939,Default,,,,,,,,
APP0200,Emily Brown,37,Lawyer,148947,603,25324,Default,,,,,,,,
APP0201,Emily Brown,22,Artist,35901,527,27867,Default,,,,,,,,
APP0202,Alex Miller,22,Teacher,192624,401,5203,Default,,,,,,,,
APP0203,David Jones,48,Lawyer,61055,716,21544,Paid,,,,,,,,
APP0204,Emily Johnson,43,Teacher,198757,515,20899,Default,,,,,,,,
APP0205,Jane Jones,57,Doctor,175788,706,34063,Default,,,,,,,,
APP0206,Michael Martinez,52,Doctor,144099,698,30344,Paid,,,,,,,,
APP0207,Sarah Rodriguez,53,Engineer,41138,798,8748,Paid,,,,,,,,
APP0208,Michael Jones,21,Lawyer,196370,764,44486,Paid,,,,,,,,
APP0209,Sarah Martinez,39,Teacher,53429,381,6093,Paid,,,,,,,,
APP0210,Sarah Garcia,22,Artist,80200,664,20228,Paid,,,,,,,,
APP0211,Alex Jones,64,Doctor,131268,462,25884,Default,,,,,,,,
APP0212,Laura Smith,46,Doctor,47347,347,30183,Default,,,,,,,,
APP0213,John Miller,52,Artist,177992,810,21034,Paid,,,,,,,,
APP0214,Chris Jones,26,Teacher,61822,628,10710,Paid,,,,,,,,
APP0215,John Rodriguez,52,Teacher,70108,415,47500,Paid,,,,,,,,
APP0216,John Jones,24,Lawyer,158955,636,24259,Default,,,,,,,,
APP0217,Sarah Rodriguez,31,Lawyer,37967,446,40959,Default,,,,,,,,
APP0218,Emily Davis,37,Engineer,140719,622,38457,Paid,,,,,,,,
APP0219,Katie Williams,58,Doctor,41871,742,25143,Paid,,,,,,,,
APP0220,Emily Johnson,44,Lawyer,194685,312,7103,Default,,,,,,,,
APP0221,John Davis,25,Teacher,58179,793,5365,Paid,,,,,,,,
APP0222,John Smith,54,Artist,85099,586,49535,Default,,,,,,,,
APP0223,Emily Martinez,26,Teacher,65262,413,21103,Default,,,,,,,,
APP0224,Sarah Garcia,42,Doctor,108213,779,37510,Paid,,,,,,,,
APP0225,David Smith,31,Teacher,147407,321,29476,Default,,,,,,,,
APP0226,Michael Martinez,36,Engineer,179340,648,17742,Default,,,,,,,,
APP0227,Chris Davis,53,Doctor,116269,619,17391,Default,,,,,,,,
APP0228,Michael Brown,29,Artist,90545,425,41940,Paid,,,,,,,,
APP0229,Emily Garcia,26,Engineer,69922,576,33901,Default,,,,,,,,
APP0230,Katie Rodriguez,36,Doctor,72913,503,37001,Paid,,,,,,,,
APP0231,Chris Davis,49,Artist,127033,493,20623,Default,,,,,,,,
APP0232,Chris Johnson,23,Engineer,134792,846,7378,Paid,,,,,,,,
APP0233,Katie Rodriguez,40,Engineer,149863,585,26372,Default,,,,,,,,
APP0234,Alex Smith,56,Doctor,186104,356,49799,Paid,,,,,,,,
APP0235,John Williams,39,Lawyer,198918,602,43437,Default,,,,,,,,
APP0236,Sarah Jones,46,Engineer,74936,462,40503,Default,,,,,,,,
APP0237,Alex Rodriguez,23,Engineer,190866,318,35746,Default,,,,,,,,
APP0238,Laura Williams,39,Artist,58141,669,32923,Paid,,,,,,,,
APP0239,David Garcia,40,Teacher,170146,563,14867,Default,,,,,,,,
APP0240,Michael Brown,52,Doctor,167478,412,46258,Default,,,,,,,,
APP0241,Emily Johnson,27,Doctor,127359,787,38724,Paid,,,,,,,,
APP0242,Chris Davis,61,Lawyer,153279,626,14306,Paid,,,,,,,,
APP0243,Michael Miller,53,Lawyer,184363,841,44391,Paid,,,,,,,,
APP0244,Katie Williams,60,Doctor,71568,364,19908,Default,,,,,,,,
APP0245,Chris Smith,59,Lawyer,127539,591,32081,Paid,,,,,,,,
APP0246,Michael Rodriguez,38,Artist,76851,324,42228,Default,,,,,,,,
APP0247,John Johnson,60,Doctor,84823,848,28386,Paid,,,,,,,,
APP0248,Alex Williams,21,Lawyer,53312,300,33302,Default,,,,,,,,
APP0249,Laura Miller,31,Doctor,195243,848,24212,Paid,,,,,,,,
APP0250,Katie Martinez,48,Teacher,128723,440,40618,Default,,,,,,,,
APP0251,Sarah Brown,45,Engineer,42411,487,15698,Default,,,,,,,,
APP0252,David Smith,43,Doctor,87009,427,9594,Default,,,,,,,,
APP0253,Jane Brown,51,Engineer,176494,500,30525,Paid,,,,,,,,
APP0254,Alex Smith,50,Lawyer,62371,426,19282,Paid,,,,,,,,
APP0255,Chris Miller,62,Engineer,87022,556,19334,Paid,,,,,,,,
APP0256,Jane Jones,55,Doctor,101229,846,34179,Paid,,,,,,,,
APP0257,Katie Miller,27,Teacher,129071,493,11644,Default,,,,,,,,
APP0258,John Miller,36,Lawyer,126774,403,40618,Default,,,,,,,,
APP0259,Emily Davis,46,Doctor,56715,834,37933,Paid,,,,,,,,
APP0260,Emily Garcia,22,Lawyer,57605,564,48469,Default,,,,,,,,
APP0261,David Jones,21,Artist,129853,683,38687,Paid,,,,,,,,
APP0262,Emily Davis,32,Engineer,61174,559,46073,Paid,,,,,,,,
APP0263,David Brown,25,Artist,171028,713,22375,Default,,,,,,,,
APP0264,Alex Davis,57,Doctor,106373,657,35926,Paid,,,,,,,,
APP0265,Chris Johnson,52,Teacher,99252,374,41607,Default,,,,,,,,
APP0266,Sarah Rodriguez,29,Lawyer,100017,654,22642,Default,,,,,,,,
APP0267,Alex Johnson,61,Engineer,93037,487,28993,Paid,,,,,,,,
APP0268,John Davis,55,Lawyer,119818,589,49386,Default,,,,,,,,
